--- Seen Names: ---
llllll,lnwwnl,llwwll,lnllnl,lwllwl,lwwwwl,wlwwlw,wwllww,wwwwww,wnllnw,wllllw,wnwwnw,
Metric Mean: 0.09251844668576654
Metric Min: 0.04246481507921864
Metric Max: 0.11444402756517713
Metric Rescaled: 0.19733683622638906
--- Metric: ---
1.099197593939865575e-01
8.894766661936309715e-02
1.144440275651771310e-01
1.027605379214011627e-01
1.100139631622065184e-01
9.911721901758920039e-02
7.481218327212008079e-02
9.865688537502065314e-02
7.592785395719907349e-02
9.111344483474437261e-02
1.020430040311721687e-01
4.246481507921864157e-02
--- Baseline: ---
1.152643485603646600e-01
1.152643485603646600e-01
1.152643485603646600e-01
1.152643485603646600e-01
1.152643485603646600e-01
1.152643485603646600e-01
1.152643485603646600e-01
1.152643485603646600e-01
1.152643485603646600e-01
1.152643485603646600e-01
1.152643485603646600e-01
1.152643485603646600e-01
