llllll,lnwwnl,llwwll,lnllnl,lwllwl,lwwwwl,wlwwlw,wwllww,wwwwww,wnllnw,wllllw,wnwwnw,
5.926525308429300143e-01,7.038261760401477440e-01,6.886159847565784808e-01
5.768403620108696339e-01,6.386235497789561899e-01,6.923988318561268285e-01
6.885975492567658618e-01,7.314752475379291408e-01,7.347218387059026856e-01
2.869574163011305301e-01,4.479972064093260542e-01,5.177648864219709379e-01
6.699027281350431462e-01,7.201514180383913333e-01,7.407042881339986895e-01
6.946622641682791421e-01,6.889971381945337869e-01,7.043555890509679562e-01
7.324261338209476779e-01,7.609419476880545652e-01,7.480562722659707120e-01
6.668848732629505394e-01,7.131315478090825000e-01,7.081976809538541584e-01
6.604021909919803868e-01,6.096526652731765195e-01,5.809406025168688537e-01
5.802583219049882723e-01,6.154082379906620215e-01,6.549180465289609065e-01
7.088223686649429700e-01,7.522333777076772865e-01,7.669172726461634948e-01
7.572214556312540923e-01,7.778058951906837715e-01,7.876697410485935524e-01
