llllll,lnwwnl,llwwll,lnllnl,lwllwl,lwwwwl,wlwwlw,wwllww,wwwwww,wnllnw,wllllw,wnwwnw,
3.694530260538900473e-03,1.412542959145361189e-02,4.413009891253444339e-02
1.563564526803074284e-01,2.163352776848491699e-01,2.321596949462849113e-01
1.364039300393739551e-01,1.798998230442573343e-01,1.951092581592076547e-01
3.574931602169417744e-02,4.797075474358694636e-02,1.265727892396097121e-01
1.853302684998837657e-01,1.406228903361822491e-01,2.631004532696600284e-01
2.750389802541051143e-01,2.580203042285364456e-01,3.490505505630441818e-01
5.377566054858696765e-01,5.674548095704380346e-01,5.492655677287098248e-01
2.060631409289092053e-01,2.575023890337712618e-01,2.341258796450170487e-01
5.146585539840349277e-01,4.953473595492924875e-01,5.003657533562615445e-01
1.183702759474627164e-01,1.733739591895574195e-01,1.031401599455922524e-01
1.564292787984292443e-01,1.568983042663649741e-01,4.834263553887443304e-02
6.651587769044995380e-01,6.556627733877226083e-01,6.888439858096701007e-01
